feature_name,importance,rank
feature_587,-0.0007790095591162033,525
feature_434,-0.0008042971586470604,526
feature_150,-0.0008098649267161834,527
feature_582,-0.0008142652360470127,528
feature_099,-0.0008261941534955131,529
feature_061,-0.0008362208159770595,530
feature_038,-0.0008465903570728267,531
feature_270,-0.0008489873526239478,532
feature_199,-0.0008515021361684333,533
feature_483,-0.0008579993175938827,534
feature_408,-0.0008658700206620018,535
feature_239,-0.0008703852963056757,536
feature_168,-0.0008941032307972884,537
feature_136,-0.0008943639803805469,538
feature_467,-0.0008952168379855352,539
feature_046,-0.0009160388717089851,540
feature_277,-0.000954612058522214,541
feature_204,-0.0009997970879587897,542
feature_346,-0.001015658998764174,543
feature_365,-0.0010480712210652553,544
feature_045,-0.0010538811048194097,545
feature_126,-0.0010569656652762937,546
feature_071,-0.0011103156221970029,547
feature_472,-0.0011308250639375406,548
feature_546,-0.001134532157671919,549
feature_113,-0.0011508069564836938,550
feature_177,-0.0011782208978865865,551
feature_041,-0.0011902398974059842,552
feature_024,-0.001197598296662533,553
feature_057,-0.0012270499856820271,554
feature_006,-0.0012296876585925847,555
feature_482,-0.0012385441474480647,556
feature_304,-0.0012632044969998813,557
feature_029,-0.0012735448147084688,558
feature_251,-0.00129435955575877,559
feature_103,-0.0013060604793905667,560
feature_526,-0.001336789222483112,561
feature_493,-0.0014466645651408983,562
feature_554,-0.001456601874523855,563
feature_063,-0.0015263512083298404,564
feature_355,-0.0015325422315638827,565
feature_440,-0.0015448169817621593,566
feature_484,-0.0016763877557821548,567
feature_068,-0.0016892012720963329,568
feature_213,-0.0018211564877817805,569
feature_524,-0.0018382553553113745,570
feature_500,-0.001860329026995841,571
feature_146,-0.0018626103167380976,572
feature_134,-0.0019728069709984363,573
feature_169,-0.00213861856306157,574
feature_477,-0.002187859234715153,575
feature_297,-0.00222772039499049,576
feature_432,-0.002264555005190322,577
feature_159,-0.0022961412252626295,578
feature_027,-0.0023550073557273205,579
feature_312,-0.002383607201829918,580
feature_075,-0.002758024741417661,581
feature_446,-0.0031661004990020227,582
feature_205,-0.005169393615442994,583
feature_116,-0.006400463211342436,584
feature_031,-0.007078796952656572,585
feature_351,-0.007285301159026483,586
feature_419,-0.008879638909134527,587
feature_433,-0.009536701371091449,588
feature_310,-0.011287296944403011,589
feature_345,-0.011437999078100664,590
